"ANO","NIVEL","CODMUNRES","POPRE_T","POPRC_T","POPRC_M","POPRC_F","POPRC_15","POPRC_15_49","POPRC_50","POPRC_F_15","POPRC_F_15_49","POPRC_F_50"
2015,"MUNICIPIO","2907301",27286,25408,12268,13140,6475,13923,5010,3202,7076,2862
2015,"MUNICIPIO","2907400",3672,2612,1354,1258,679,1333,600,334,623,301
2015,"MUNICIPIO","2907509",55719,51077,24816,26261,11791,29990,9296,5834,15414,5013
2015,"MUNICIPIO","2907558",9762,8843,4543,4300,1995,4663,2185,953,2219,1128
2015,"MUNICIPIO","2907608",18140,17013,8689,8324,4813,8634,3566,2328,4159,1837
2015,"MUNICIPIO","2907707",11522,10734,5442,5292,3236,5426,2072,1559,2619,1114
2015,"MUNICIPIO","2907806",34478,32300,15860,16440,7732,16883,7685,3834,8509,4097
2015,"MUNICIPIO","2907905",17602,15755,7678,8077,4498,8321,2936,2216,4273,1588
2015,"MUNICIPIO","2908002",19770,20964,10274,10690,5260,10384,5320,2543,5374,2773
2015,"MUNICIPIO","2908101",19396,18153,9303,8850,4954,9402,3797,2413,4545,1892
2015,"MUNICIPIO","2908200",22656,20391,9922,10469,5322,11377,3692,2606,5744,2119
2015,"MUNICIPIO","2908309",18525,17889,8704,9185,3980,9953,3956,1938,5041,2206
2015,"MUNICIPIO","2908408",68146,62040,30707,31333,16411,33744,11885,8145,16991,6197
2015,"MUNICIPIO","2908507",33354,30123,14559,15564,7402,17198,5523,3579,8846,3139
2015,"MUNICIPIO","2908606",26194,23620,11834,11786,7824,11913,3883,3900,5854,2032
2015,"MUNICIPIO","2908705",18269,16898,8270,8628,4388,8313,4197,2180,4188,2260
2015,"MUNICIPIO","2908804",4326,4663,2380,2283,1164,2353,1146,541,1147,595
2015,"MUNICIPIO","2908903",23146,22401,10841,11560,5849,12016,4536,2940,6053,2567
2015,"MUNICIPIO","2909000",8834,8168,4048,4120,1937,4274,1957,942,2131,1047
2015,"MUNICIPIO","2909109",14976,14307,7199,7108,3684,7345,3278,1897,3580,1631
2015,"MUNICIPIO","2909208",17098,17066,8796,8270,5120,8913,3033,2443,4332,1495
2015,"MUNICIPIO","2909307",33183,31249,15763,15486,8511,16673,6065,4153,8196,3137
2015,"MUNICIPIO","2909406",14403,13636,7115,6521,3887,7054,2695,1902,3331,1288
2015,"MUNICIPIO","2909505",5560,5041,2557,2484,1366,2613,1062,669,1287,528
2015,"MUNICIPIO","2909604",21617,20046,10236,9810,5782,10151,4113,2788,4941,2081
2015,"MUNICIPIO","2909703",14302,13280,6869,6411,3529,7117,2634,1707,3403,1301
2015,"MUNICIPIO","2909802",64197,58606,27682,30924,13420,34180,11006,6502,17943,6479
2015,"MUNICIPIO","2909901",35208,32168,16467,15701,9516,16901,5751,4713,8082,2906
2015,"MUNICIPIO","2910008",12022,12836,6726,6110,3732,6504,2600,1784,3084,1242
2015,"MUNICIPIO","2910057",78058,66440,32818,33622,18289,38854,9297,8997,19771,4854
2015,"MUNICIPIO","2910107",12499,11355,5870,5485,2623,6289,2443,1266,2958,1261
2015,"MUNICIPIO","2910206",4153,3874,1897,1977,873,2094,907,420,1067,490
2015,"MUNICIPIO","2910305",8434,7947,3957,3990,1801,4068,2078,852,2040,1098
2015,"MUNICIPIO","2910404",20331,23766,12376,11390,7042,12256,4468,3509,5815,2066
2015,"MUNICIPIO","2910503",43006,39872,19631,20241,11761,21906,6205,5779,11132,3330
2015,"MUNICIPIO","2910602",36724,32802,16334,16468,10318,17147,5337,5066,8516,2886
2015,"MUNICIPIO","2910701",60066,56289,28319,27970,15287,29178,11824,7350,14414,6206
2015,"MUNICIPIO","2910727",113191,100196,49396,50800,27594,56174,16428,13502,28764,8534
2015,"MUNICIPIO","2910750",18481,17652,8949,8703,4536,9460,3656,2219,4604,1880
2015,"MUNICIPIO","2910776",5914,6184,3197,2987,1597,3268,1319,770,1562,655
2015,"MUNICIPIO","2910800",617528,556642,263999,292643,134360,327938,94344,66220,172359,54064
2015,"MUNICIPIO","2910859",17583,16740,8437,8303,4549,8832,3359,2315,4288,1700
2015,"MUNICIPIO","2910909",5786,5384,2732,2652,1426,2780,1178,681,1383,588
2015,"MUNICIPIO","2911006",11313,10660,5438,5222,2758,5323,2579,1352,2604,1266
2015,"MUNICIPIO","2911105",25372,22528,11660,10868,6963,12244,3321,3436,5788,1644
2015,"MUNICIPIO","2911204",32809,30336,15103,15233,8266,16784,5286,4092,8448,2693
