"ANO","NIVEL","CODMUNRES","IDHM_A","IDHM_CA","IDHM_CA_M","IDHM_CA_F"
2010,"MUNICIPIO",2920205,NA,0.562,NA,NA
2010,"MUNICIPIO",2920304,NA,0.578,NA,NA
2010,"MUNICIPIO",2920403,NA,0.566,NA,NA
2010,"MUNICIPIO",2920452,NA,0.599,NA,NA
2010,"MUNICIPIO",2920502,NA,0.607,NA,NA
2010,"MUNICIPIO",2920601,NA,0.621,NA,NA
2010,"MUNICIPIO",2920700,NA,0.593,NA,NA
2010,"MUNICIPIO",2920809,NA,0.561,NA,NA
2010,"MUNICIPIO",2920908,NA,0.581,NA,NA
2010,"MUNICIPIO",2921005,NA,0.668,NA,NA
2010,"MUNICIPIO",2921054,NA,0.572,NA,NA
2010,"MUNICIPIO",2921104,NA,0.625,NA,NA
2010,"MUNICIPIO",2921203,NA,0.586,NA,NA
2010,"MUNICIPIO",2921302,NA,0.628,NA,NA
2010,"MUNICIPIO",2921401,NA,0.542,NA,NA
2010,"MUNICIPIO",2921450,NA,0.527,NA,NA
2010,"MUNICIPIO",2921500,NA,0.506,NA,NA
2010,"MUNICIPIO",2921609,NA,0.558,NA,NA
2010,"MUNICIPIO",2921708,NA,0.588,NA,NA
2010,"MUNICIPIO",2921807,NA,0.618,NA,NA
2010,"MUNICIPIO",2921906,NA,0.606,NA,NA
2010,"MUNICIPIO",2922003,NA,0.665,NA,NA
2010,"MUNICIPIO",2922052,NA,0.566,NA,NA
2010,"MUNICIPIO",2922102,NA,0.59,NA,NA
2010,"MUNICIPIO",2922201,NA,0.617,NA,NA
2010,"MUNICIPIO",2922250,NA,0.549,NA,NA
2010,"MUNICIPIO",2922300,NA,0.66,NA,NA
2010,"MUNICIPIO",2922409,NA,0.601,NA,NA
2010,"MUNICIPIO",2922508,NA,0.641,NA,NA
2010,"MUNICIPIO",2922607,NA,0.547,NA,NA
2010,"MUNICIPIO",2922656,NA,0.56,NA,NA
2010,"MUNICIPIO",2922706,NA,0.545,NA,NA
2010,"MUNICIPIO",2922730,NA,0.597,NA,NA
2010,"MUNICIPIO",2922755,NA,0.57,NA,NA
2010,"MUNICIPIO",2922805,NA,0.524,NA,NA
2010,"MUNICIPIO",2922854,NA,0.567,NA,NA
2010,"MUNICIPIO",2922904,NA,0.555,NA,NA
2010,"MUNICIPIO",2923001,NA,0.654,NA,NA
